confidence ,context,many,Answer.time_in_minutes,workerid
4,5,0,0.47355,115
5,5,1,1.484516667,129
5,5,1,1.332383333,130
5,5,1,0.1108333333,134
3,5,1,0.9274666667,135
2,5,0,1.974316667,136
4,5,1,7.311716667,146
6,5,1,0.3774333333,148
6,5,0,2.237716667,154
6,5,1,0.9396,158
7,5,1,0.2515,159
5,5,1,1.228366667,168
3,5,1,0.2837666667,174
7,5,1,0.45475,181
7,5,0,0.2686833333,190
7,5,0,0.4538666667,196
5,5,0,0.4716166667,205
2,5,1,0.4298166667,210
7,5,0,0.45175,212
7,5,1,2.4705,223
4,5,1,2.860383333,240
5,5,0,0.3347833333,241
6,5,1,0.5450333333,244
5,5,1,0.5398333333,246
5,5,0,0.30145,250
6,5,1,2.7642,254
5,5,1,0.3892333333,261
5,5,0,16.41338333,265
6,5,1,0.2637666667,266
4,5,1,1.22935,268
6,5,0,0.35135,271
7,5,0,0.9218666667,275
6,5,1,0.3269666667,280
5,5,1,1.867616667,287
5,5,1,3.193083333,295
4,10,0,0.2534666667,12
7,10,1,0.9266333333,1
6,10,1,0.4915333333,7
6,10,1,4.9413,10
7,10,1,0.5967333333,14
6,10,1,0.8499,17
4,10,0,0.3840166667,21
5,10,1,1.0307,41
6,10,1,1.148216667,62
6,10,1,0.7243666667,71
6,10,1,0.5663666667,80
6,10,1,0.94465,81
5,10,0,0.5017666667,89
2,10,1,0.2915666667,101
5,10,1,0.3885,110
6,10,1,1.521416667,112
6,10,1,0.4550333333,114
6,10,1,0.9041166667,119
4,10,0,1.1169,132
4,10,0,0.97295,140
6,10,1,1.091933333,150
6,10,1,3.735583333,152
7,10,1,0.2086,156
6,10,1,0.3641,166
6,10,1,0.5464833333,172
6,10,1,0.8251666667,175
7,10,0,8.550716667,201
7,10,1,0.9151,209
7,10,1,0.31345,211
7,10,0,1.7879,222
4,10,1,0.6749166667,226
5,10,0,2.826183333,231
4,10,0,0.3903333333,236
7,10,0,0.2430666667,247
5,10,1,0.3121333333,251
6,10,1,0.9441333333,256
7,10,1,0.7352333333,260
7,10,1,0.8232,262
7,10,1,0.6013166667,272
5,10,1,1.002483333,273
7,10,1,0.3098,279
4,10,0,0.685,281
5,10,1,1.0972,285
6,10,1,0.74935,288
6,10,1,0.4106666667,292
7,10,1,0.8492833333,294
5,10,1,0.30515,297
4,10,1,8.970066667,299
5,20,1,0.2470166667,12
5,20,1,0.39095,0
7,20,1,0.5483333333,2
5,20,1,1.558666667,3
7,20,1,0.3833666667,8
6,20,1,0.6115833333,16
7,20,1,0.4280333333,20
7,20,1,2.357833333,23
6,20,1,0.58425,31
5,20,1,0.7817666667,34
7,20,1,1.376633333,35
6,20,1,0.3734,45
7,20,1,0.4854666667,47
6,20,1,2.28845,59
7,20,1,1.584783333,67
6,20,1,0.3360833333,69
6,20,1,0.41265,83
5,20,1,0.4339,90
6,20,1,0.4432833333,91
7,20,0,0.8603166667,104
7,20,1,0.4545166667,118
6,20,1,1.458283333,125
7,20,1,0.3453833333,126
7,20,1,0.4698333333,131
5,20,1,0.7556833333,137
7,20,1,0.88265,139
7,20,1,0.6471666667,143
6,20,1,0.902,151
6,20,1,0.3326666667,162
7,20,1,0.2707333333,165
6,20,1,0.4478333333,170
7,20,1,0.1409833333,171
6,20,1,0.6575,178
4,20,1,0.8173166667,188
6,20,1,0.4604666667,198
7,20,1,0.4150166667,207
7,20,1,0.6412166667,214
3,20,1,0.3008666667,217
6,20,1,0.62385,225
6,20,0,0.6620666667,228
7,20,1,1.092333333,229
7,20,1,0.4705166667,235
5,20,1,0.5263833333,238
4,20,1,0.5282333333,258
6,20,1,0.3254,274
6,20,1,0.5590166667,276
7,20,1,0.23065,286
4,20,1,0.4681,289
7,20,1,2.34345,290
7,20,1,0.4016166667,298
